country,iso2c,iso3c,year,status,lastupdated,SP.POP.TOTL,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2015,,2022-12-22,33753499,0.176278015184889,592.476537451681,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,,2022-12-22,17788819,0.0618365952231005,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,,2022-12-22,32716210,0.149161535350241,602.516979299112,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,,2022-12-22,22645130,0.0538747195803349,363.101481459528,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,,2022-12-22,19542982,0.0388886404336861,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,,2022-12-22,21000256,0.0490470197787003,359.766342668484,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2010,,2022-12-22,28189672,0.252220037661822,569.282712026308,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,,2022-12-22,29249157,0.305307954864333,551.000970270826,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2001,,2022-12-22,19688632,0.037077233197309,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,,2022-12-22,27385307,0.178197750875713,512.409279249256,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,,2022-12-22,31541209,0.189910278046671,608.386714575999,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1995,,2022-12-22,16418912,0.0755226655700451,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,,2022-12-22,18493132,0.0562370938573304,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2012,,2022-12-22,30466479,0.265209508578463,596.4428151196,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,,2022-12-22,26427199,0.134709695975708,437.420026808226,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2007,,2022-12-22,25903301,0.0683310586911881,429.412537341828,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,,2022-12-22,23553551,0.0437301352730113,354.033912870345,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,,2022-12-22,19262847,0.0420498589850192,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,,2022-12-22,24411191,0.063495466170261,379.955829325586,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2006,,2022-12-22,25442944,0.0691743844762328,384.078305241572,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1996,,2022-12-22,17106595,0.0689792445545125,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Africa Eastern and Southern,ZH,AFE,2001,,2022-12-22,412001885,0.95424320692125,1278.3606236054,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1996,,2022-12-22,362985802,0.936868599615365,1240.51806700608,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1997,,2022-12-22,372352230,0.957668495768107,1262.92044705139,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2009,,2022-12-22,509410477,0.98533507675895,1478.25608940204,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2002,,2022-12-22,422741118,0.956164399242032,1294.54034226864,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2005,,2022-12-22,457153837,1.00285715118919,1381.77376026899,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2006,,2022-12-22,469508516,0.99133453878279,1433.69054422622,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2000,,2022-12-22,401600588,0.886253682477178,1265.24733780184,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2010,,2022-12-22,523459657,1.01180671779076,1513.34607613598,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1995,,2022-12-22,353466601,0.926339289408563,1208.26859589476,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2008,,2022-12-22,495748900,1.04752625799657,1509.2519975841,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2004,,2022-12-22,445281555,1.02766437578895,1336.84159640334,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2013,,2022-12-22,567891875,0.995664910620022,1520.26718854789,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2014,,2022-12-22,583650827,1.00693765045541,1538.24924991022,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2003,,2022-12-22,433807484,0.982878379361328,1300.57393215501,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1999,,2022-12-22,391486231,0.896762062622836,1255.81621170644,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2012,,2022-12-22,552530654,0.983547239181253,1499.24452306608,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2007,,2022-12-22,482406426,1.00782238957389,1487.01651360209,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1998,,2022-12-22,381715600,0.958016911019618,1254.68312634815,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2015,,2022-12-22,600008150,0.956703663086829,1540.85035410697,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2011,,2022-12-22,537792950,0.970187522656224,1527.51653729881,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2003,,2022-12-22,292977949,0.515363018069452,1338.1181342986,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2013,,2022-12-22,387204553,0.499219330100904,1819.90621447038,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2012,,2022-12-22,376797999,0.472242411645039,1762.50210608869,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2011,,2022-12-22,366489204,0.46871776341901,1723.56361081394,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2009,,2022-12-22,346475221,0.423464619292407,1625.53368936689,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2010,,2022-12-22,356337762,0.464418917562708,1690.63452938271,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2014,,2022-12-22,397855507,0.506917708404874,1876.22494346896,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2015,,2022-12-22,408690375,0.485477551312086,1876.62348318848,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1996,,2022-12-22,242200260,0.559529151179489,1168.30437384161,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1997,,2022-12-22,248713095,0.54499907745344,1185.78233077128,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1999,,2022-12-22,262397030,0.506915750862876,1179.7423775635,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1995,,2022-12-22,235861484,0.497312416556454,1146.65926110569,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2002,,2022-12-22,284952322,0.497135791121823,1303.68466895517,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2007,,2022-12-22,327612838,0.435300409162516,1521.79981991719,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2004,,2022-12-22,301265247,0.501186260829957,1405.71065293854,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2001,,2022-12-22,277160097,0.539255115068025,1219.17383691953,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2008,,2022-12-22,336893835,0.449221636010211,1572.857212716,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2006,,2022-12-22,318601484,0.467292227705739,1482.71312740747,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1998,,2022-12-22,255482918,0.510473912713849,1194.76285317307,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2000,,2022-12-22,269611898,0.525718638722687,1191.15597769774,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2005,,2022-12-22,309824829,0.501186433220843,1446.87655895216,Aggregates,,,,Aggregates,Aggregates
Albania,AL,ALB,1999,,2022-12-22,3108778,0.955359308384195,1821.87265372461,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1995,,2022-12-22,3187784,0.605436252895428,1488.02049135802,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2012,,2022-12-22,2900401,1.50324046003101,3736.33910071368,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2000,,2022-12-22,3089027,1.026213108529,1960.88194602054,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
